Number,Artist,Firsts,Seconds,Thirds,Points,Podiums,Mean
1,Green Day,45,57,52,301,154,1.95
2,Bruce Springsteen,62,26,13,251,101,2.49
3,Frank Turner,46,35,25,233,106,2.20
4,Oasis,45,30,20,215,95,2.26
5,Coldplay,23,26,8,129,57,2.26
6,Eric Church,27,12,10,115,49,2.35
7,Queen,13,18,21,96,52,1.85
8,Dire Straits,22,9,12,96,43,2.23
9,High Valley,15,18,7,88,40,2.20
10,Leslie Odom Jr.,12,15,8,74,35,2.11
11,Fall Out Boy,17,3,12,69,32,2.16
12,Culcha Candela,15,7,6,65,28,2.32
13,Madness,12,8,7,59,27,2.19
14,Howard Shore,8,11,11,57,30,1.90
15,SDP,13,5,4,53,22,2.41
16,ABBA,9,8,5,48,22,2.18
17,Muse,3,13,12,47,28,1.68
18,Blake Shelton,9,5,8,45,22,2.05
19,Fettes Brot,6,8,4,38,18,2.11
20,Andrew Lloyd Webber,7,4,4,33,15,2.20
21,Taylor Swift,7,3,3,30,13,2.31
22,Alistair Griffin,4,3,11,29,18,1.61
23,The Kinks,4,5,6,28,15,1.87
24,Oasis For Piano,5,4,5,28,14,2.00
25,Keane,4,4,7,27,15,1.80
26,David Bowie,5,2,8,27,15,1.80
27,Bob Dylan,4,4,7,27,15,1.80
28,Noel Gallagher's High Flying Birds,3,6,4,25,13,1.92
29,Flogging Molly,4,4,5,25,13,1.92
30,The Rolling Stones,1,6,8,23,15,1.53
31,Lin-Manuel Miranda,1,4,8,19,13,1.46
32,Tennessee Ernie Ford,4,3,1,19,8,2.38
33,The Fratellis,2,3,5,17,10,1.70
34,Felix Hagan & The Family,2,4,1,15,7,2.14
35,Simon & Garfunkel,1,5,2,15,8,1.88
36,Luke Bryan,3,3,0,15,6,2.50
37,Mumford & Sons,0,4,6,14,10,1.40
38,Sportfreunde Stiller,3,1,2,13,6,2.17
39,Creedence Clearwater Revival,2,2,3,13,7,1.86
40,Luke Combs,0,5,3,13,8,1.63
41,Billy Joel,0,4,4,12,8,1.50
42,The Feeling,2,2,1,11,5,2.20
43,Original Broadway Cast of Hamilton,0,2,7,11,9,1.22
44,Avicii,3,0,2,11,5,2.20
45,Status Quo,3,0,2,11,5,2.20
46,Peter Fox,0,3,4,10,7,1.43
